degree_name,top_3_majors
Bachelor of Architecture,"['Architectural Engineering', 'Architectural Engineering', 'Architecture']"
Bachelor of Arts,"['Studio Arts', 'Art And Music Education', 'Fine Arts']"
Bachelor of Applied Arts,"['Studio Arts', 'Liberal Arts & General Studies', 'Liberal Arts & General Studies']"
Bachelor of Applied Arts and Science,"['Science Education', 'Science Education', 'Art And Music Education']"
Bachelor of Applied Science in Information Technology,"['Information Sciences', 'Computer And Information Sciences, General', 'Information Science']"
Bachelor of Design,"['Architectural Engineering', 'Architectural Engineering', 'Architectural Engineering Technology']"
Bachelor of Engineering,"['Engineering, General', 'Engineering, General', 'General Engineering']"
Bachelor of Science in Business,"['Science Education', 'Science Education', 'General Business']"
Bachelor of Engineering Technology,"['Engineering Technologies', 'Engineering Technology, General', 'Engineering Technology, General']"
Bachelor of Technology,"['Computer Science', 'Engineering Technologies', 'Engineering Technology, General']"
International Business Economics,"['International Business', 'Business Economics', 'International Business Management']"
Bachelor of Business Administration,"['Business Management And Administration', 'Business Administration/Mgmt, General', 'Business Administration/Mgmt, General']"
Bachelor of Management Studies,"['Business Management And Administration', 'Engineering And Industrial Management', 'Management Information Systems']"
Bachelor of Administrative Studies,"['Educational Administration And Supervision', 'Business Management And Administration', 'Social Studies/Sciences Educaton']"
Bachelor of International Business Economics,"['International Business', 'International Business Management', 'Business Economics']"
Bachelor of Commerce,"['Accounting Technician', 'Operations Logistics And E-Commerce', 'Business Administration/Mgmt, General']"
Bachelor of Fine Arts,"['Fine Arts', 'Fine & Studio Arts', 'Fine & Studio Arts']"
Bachelor of Business,"['General Business', 'Business Economics', 'International Business Management']"
Bachelor of Management and Organizational Studies,"['Business Management And Administration', 'Business Administration/Mgmt, General', 'Business Administration/Mgmt, General']"
Bachelor of Business Science,"['General Business', 'Science Education', 'Science Education']"
Bachelor of Accountancy,"['Accounting Technician', 'Accounting', 'Accounting']"
Bachelor of Comptrolling,"['Miscellaneous Education', 'Liberal Arts & General Studies', 'Liberal Arts & General Studies']"
Bachelor of Economics,"['Economics', 'Economics', 'Business Economics']"
Bachelor of Arts in Organizational Management,"['Industrial And Organizational Psychology', 'Business Management And Administration', 'Business Administration/Mgmt, General']"
Bachelor of Computer Science,"['Computer Science', 'Computer Science', 'Science And Computer Teacher Education']"
Bachelor of Computing,"['Computer Engineering', 'Computer Engineering', 'Computer Engineering']"
Bachelor of Science in Information Technology,"['Information Sciences', 'Information Science', 'Information Science']"
Bachelor of Computer Applications,"['Computer Engineering', 'Computer Engineering', 'Computer Engineering']"
Bachelor of Business Information Systems,"['Management Information Systems', 'Management Information Systems', 'Computer And Information Systems']"
Intercalated Bachelor of Science,"['Science Education', 'Science Education', 'Physical Sciences']"
Bachelor of Medical Science,"['Miscellaneous Health Medical Professions', 'Health And Medical Preparatory Programs', 'Science Education']"
Bachelor of Medical Biology,"['Miscellaneous Health Medical Professions', 'Biochemistry & Biophysics', 'Biochemistry And Biophysics']"
Bachelor of Science in Public Health,"['Public Health', 'Community And Public Health', 'Miscellaneous Health Medical Professions']"
Bachelor of Science in Nursing,"['Nursing', 'Nursing, Registered (Bs/Rn)', 'Nursing, Registered (Bs/Rn)']"
Bachelor of Health Science,"['Miscellaneous Health Medical Professions', 'Physical And Health Education Teaching', 'Health & Physical Education/Fitness']"
Bachelor of Kinesiology,"['Exercise Sci/Physiology/Kinesiology', 'Physical Education & Coaching', 'Physical Education & Coaching']"
Bachelor of Arts for Teaching,"['Mathematics Teacher Education', 'Teacher Education, General', 'Teacher Education, General']"
