degree_title,degree_reference,degree_level
Bachelor of Architecture ,['BArch'],bachelor
Bachelor of Arts ,"['BA', ' AB', ' BS', ' BSc', ' SB', ' ScB']",bachelor
Bachelor of Applied Arts ,['BAA'],bachelor
Bachelor of Applied Arts and Science ,['BAAS'],bachelor
Bachelor of Applied Science in Information Technology ,['BappSc(IT)'],bachelor
Bachelor of Design ,"['BDes', '  SDes ']",bachelor
Bachelor of Engineering ,"['BEng', ' BE', ' BSE', ' BESc', ' BSEng', ' BASc', ' BTech', ' BSc(Eng)', ' AMIE', 'GradIETE']",bachelor
Bachelor of Science in Business ,['BSBA'],bachelor
Bachelor of Engineering Technology ,['BSET'],bachelor
Bachelor of Technology ,"['B.Tech.' , 'B.Tech.']",bachelor
International Business Economics ,['BIBE'],bachelor
Bachelor of Business Administration ,['BBA'],bachelor
Bachelor of Management Studies ,['BMS'],bachelor
Bachelor of Administrative Studies,,bachelor
Bachelor of International Business Economics ,['BIBE'],bachelor
Bachelor of Commerce ,"['BCom', '  BComm']",bachelor
Bachelor of Fine Arts ,['BFA'],bachelor
Bachelor of Business ,"['BBus',  'BBus']",bachelor
Bachelor of Management and Organizational Studies ,['BMOS'],bachelor
Bachelor of Business Science ,['BBusSc'],bachelor
Bachelor of Accountancy ,"['B.Acy.',  'B.Acc.',  'B. Accty']",bachelor
Bachelor of Comptrolling ,['B.Acc.Sci.  B.Compt.'],bachelor
Bachelor of Economics ,"['BEc', ' BEconSc', ' BA(Econ)', 'Bsc(Econ)']",bachelor
Bachelor of Arts in Organizational Management ,['BAOM'],bachelor
Bachelor of Computer Science ,['BCompSc'],bachelor
Bachelor of Computing ,['BComp'],bachelor
Bachelor of Science in Information Technology ,['BSc IT'],bachelor
Bachelor of Computer Applications ,['BCA'],bachelor
Bachelor of Business Information Systems ,['BBIS'],bachelor
Intercalated Bachelor of Science ,['BSc'],bachelor
Bachelor of Medical Science ,['BMedSci'],bachelor
Bachelor of Medical Biology ,['BMedBiol'],bachelor
Bachelor of Science in Public Health ,['BSPH'],bachelor
Bachelor of Science in Nursing ,"['BN', ' BNSc', ' BScN', ' BSN', ' BNurs', ' BSN', ' BHSc.']",bachelor
Bachelor of Health Science ,"['BHS',  'BHSc']",bachelor
Bachelor of Kinesiology ,"['BKin', ' Bsc(Kin)', ' BHK)']",bachelor
Bachelor of Arts for Teaching ,['BAT'],bachelor
Bachelor of Aviation ,['BAvn'],bachelor
Bachelor of Divinity ,"['BD',  'BDiv']",bachelor
Bachelor of Theology ,"['B.Th.', 'Th.B.',  'BTheol']",bachelor
Bachelor of Religious Education ,['BRE'],bachelor
Bachelor of Religious Studies ,['BRS'],bachelor
Bachelor of Film and Television ,['BF&TV'],bachelor
Bachelor of Integrated studies ,['BIS'],bachelor
Bachelor of Journalism ,"['BJ', ' BAJ', ' BSJ  BJourn']",bachelor
Bachelor of Landscape Architecture ,['BLArch'],bachelor
Bachelor of Liberal Arts ,"['B.L.A.,  A.L.B.']",bachelor
Bachelor of General Studies ,"['BGS', ' BSGS']",bachelor
Bachelor of Science in Human Biology ,['BSc'],bachelor
Bachelor of Applied Studies ,['BAS'],bachelor
Bachelor of Liberal Studies,,bachelor
Bachelor of Professional Studies ,['BPS'],bachelor
Bachelor of Library Science ,"['B.L.S.', ' B.Lib.']",bachelor
Bachelor of Library and Information Science ,['B.L.I.S.'],bachelor
Bachelor of Music ,"['BM',  'BMus']",bachelor
Bachelor of Art in Music ,['BA in Music'],bachelor
Bachelor of Music Education ,['BME'],bachelor
