Name,Major_Category
GENERAL AGRICULTURE,Agriculture
AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture
AGRICULTURAL ECONOMICS,Agriculture
ANIMAL SCIENCES,Agriculture
FOOD SCIENCE,Agriculture
PLANT SCIENCE AND AGRONOMY,Agriculture
SOIL SCIENCE,Agriculture
MISCELLANEOUS AGRICULTURE,Agriculture
FORESTRY,Agriculture
NATURAL RESOURCES MANAGEMENT,Agriculture
FINE ARTS,Arts
DRAMA AND THEATER ARTS,Arts
MUSIC,Arts
VISUAL AND PERFORMING ARTS,Arts
COMMERCIAL ART AND GRAPHIC DESIGN,Arts
FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
STUDIO ARTS,Arts
MISCELLANEOUS FINE ARTS,Arts
ENVIRONMENTAL SCIENCE,Biology & Life Science
BIOLOGY,Biology & Life Science
BIOCHEMICAL SCIENCES,Biology & Life Science
BOTANY,Biology & Life Science
MOLECULAR BIOLOGY,Biology & Life Science
ECOLOGY,Biology & Life Science
GENETICS,Biology & Life Science
MICROBIOLOGY,Biology & Life Science
PHARMACOLOGY,Biology & Life Science
PHYSIOLOGY,Biology & Life Science
ZOOLOGY,Biology & Life Science
NEUROSCIENCE,Biology & Life Science
MISCELLANEOUS BIOLOGY,Biology & Life Science
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
GENERAL BUSINESS,Business
ACCOUNTING,Business
ACTUARIAL SCIENCE,Business
BUSINESS MANAGEMENT AND ADMINISTRATION,Business
OPERATIONS LOGISTICS AND E-COMMERCE,Business
BUSINESS ECONOMICS,Business
MARKETING AND MARKETING RESEARCH,Business
FINANCE,Business
HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business
INTERNATIONAL BUSINESS,Business
HOSPITALITY MANAGEMENT,Business
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business
COMMUNICATIONS,Communications
JOURNALISM,Communications
MASS MEDIA,Communications
ADVERTISING AND PUBLIC RELATIONS,Communications
COMMUNICATION TECHNOLOGIES,Computer Science and Mathematics
COMPUTER AND INFORMATION SYSTEMS,Computer Science and Mathematics
COMPUTER PROGRAMMING AND DATA PROCESSING,Computer Science and Mathematics
COMPUTER SCIENCE,Computer Science and Mathematics
INFORMATION SCIENCES,Computer Science and Mathematics
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computer Science and Mathematics
COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computer Science and Mathematics
MATHEMATICS,Computer Science and Mathematics
APPLIED MATHEMATICS,Computer Science and Mathematics
STATISTICS AND DECISION SCIENCE,Computer Science and Mathematics
MATHEMATICS AND COMPUTER SCIENCE,Computer Science and Mathematics
GENERAL EDUCATION,Education
EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
SCHOOL STUDENT COUNSELING,Education
ELEMENTARY EDUCATION,Education
MATHEMATICS TEACHER EDUCATION,Education
PHYSICAL AND HEALTH EDUCATION TEACHING,Education
EARLY CHILDHOOD EDUCATION,Education
SCIENCE AND COMPUTER TEACHER EDUCATION,Education
SECONDARY TEACHER EDUCATION,Education
SPECIAL NEEDS EDUCATION,Education
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
TEACHER EDUCATION: MULTIPLE LEVELS,Education
LANGUAGE AND DRAMA EDUCATION,Education
ART AND MUSIC EDUCATION,Education
MISCELLANEOUS EDUCATION,Education
LIBRARY SCIENCE,Education
ARCHITECTURE,Engineering
GENERAL ENGINEERING,Engineering
AEROSPACE ENGINEERING,Engineering
BIOLOGICAL ENGINEERING,Engineering
