alpha_two_code,Name,web_pages,state-province,domains,Address,logo,logo_flag,city
AE,"Synergy University, Dubai Campus",['http://www.synergydubai.ae/'],,,United Arab Emirates,http://www.citysearch.ae/UF/Companies/13088/1378435_674462159230585_505115558_n.jpg,FALSE,
AF,Taj Institute of Higher Education,['http://www.taj.edu.af/'],,,Afghanistan,http://www.taj.edu.af/fa/assets/img/logo.png,TRUE,Mazar-i-Sharif
AL,Agricultural University of Tirane,['http://www.ubt.edu.al/'],,,Albania,https://www.ubt.edu.al/web/image/website/1/logo/Universiteti%20Bujq%C3%ABsor%20i%20Tiran%C3%ABs?unique=57f976e,TRUE,
AL,Polytechnic University of Tirane,['http://www.upt.al/'],,,Albania,https://www.upt.al/images/headers/logoAL.png,TRUE,
AR,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,['http://www.barcelo.edu.ar/'],,,Argentina,https://imagenes.universia.net/gc/net/images/logos-instituciones/l/lo/log/logo-barcelo.jpg,FALSE,
AR,Universidad ISALUD,['http://www.isalud.edu.ar/'],,,Argentina,https://www.isalud.edu.ar/assets/imagenes/logo.svg,TRUE,Buenos Aires
AR,Universidad Nacional del Littoral,['http://www.unl.edu.ar/'],,,Argentina,http://www.motivar.com.ar/wp-content/uploads/2013/05/UNL.jpg,FALSE,
AT,Universität Linz,['http://www.uni-linz.ac.at/'],,,Austria,https://www.jku.at/typo3conf/ext/jku_distribution/Resources/Public/Images/Footer/jku-logo-mobile.svg,TRUE,
AU,University of Ballarat,['http://www.ballarat.edu.au/'],,,Australia,https://federation.edu.au/__data/assets/image/0011/466868/FED_reverse_logo_large.png,TRUE,
AU,University of Divinity,['http://www.divinity.edu.au/'],,,Australia,https://divinity.edu.au/wp-content/uploads/2022/11/SBC-logo-01.svg,TRUE,
AZ,Academy of Public Administration,['http://www.dia.edu.az/'],,,Azerbaijan,https://dia.edu.az/wp-content/uploads/2021/03/DIA-logo-png-копия.png,TRUE,
AZ,Azerbaijan International University,['http://www.abu.az/'],,,Azerbaijan,https://studyinazerbaijan.edu.az/web/upload/images/au.jpg,FALSE,
AZ,Azerbaijan State Economic University,['http://www.aseu.az/'],,,Azerbaijan,https://www.eduopinions.com/wp-content/uploads/2018/05/AzerbaijanStateUniversityofEconomics-logo.jpg,FALSE,
AZ,Azerbaijan State Oil Academy,['http://adna.jis.az/'],,,Azerbaijan,https://logosave.com/images/large/23/Azerbaijan-State-Oil-Academy-logo.gif,FALSE,
AZ,Azerbaijan Technology University,['http://www.aztu.edu.az/'],,,Azerbaijan,https://www.aztu.edu.az/web_admin/upload/files/aztu.edu.az/sitesettings/5-2022/aztu_s_logo.png,TRUE,
AZ,Azerbaijan University ol Languages,['http://www.adu.edu.az/'],,,Azerbaijan,https://adu.edu.az/assets/i/adu-logo.svg,TRUE,
AZ,Baki Business University,['http://www.bbu.edu.az/'],,,Azerbaijan,https://www.bbu.edu.az/images/logo_az.png,TRUE,
AZ,Ganja State University ,['http://www.gsu.az/'],,,Azerbaijan,http://gdu.edu.az/wp-content/uploads/2018/11/80-il-logo-GDU-995x1024-200x205.png,TRUE,
BD,Chittagong Independent University,['http://www.ciu.edu.bd/'],,,Bangladesh,https://www.ciu.edu.bd/extra-images/logo.png,TRUE,Chittagong
