Name,Region,Address,Contact,Curriculum
Shantiniketan English Medium School,Andhra pradesh,"Shantiniketan English Medium School,Vidya Nagar Kutagulla, Kadiri, Anantapur, Andhra Pradesh - 515541 ",['08494-224329'],ICSE
Emmaus - Swiss Referral Hospital School,Andhra pradesh,"Emmaus - Swiss Referral Hospital School,P. O. Palamaner L. S. Farm, L.s. Farm, Chittoor, Andhra Pradesh - 517408 ","['08579-254455', '08579-252440']",ICSE
Rishi Valley School,Andhra pradesh,"Rishi Valley School,Rishi Valley, Chittoor, Andhra Pradesh - 517352 ","['08571-280044', '08571-280622']",ICSE
The Peepal Grove School,Andhra pradesh,"The Peepal Grove School,P. O. Gongivaripalli Sadum Mandal, Chittoor, Andhra Pradesh - 517123 ","['08583-202200', '9701085309']",ICSE
Vasishta School,Andhra pradesh,"Vasishta School,Post Box #29 Vidya Nagar, Madanapalle, Chittoor, Andhra Pradesh - 517325 ","['08571-230227', '08571-230886']",ICSE
Vijayavani Residential School,Andhra pradesh,"Vijayavani Residential School,Vijaya Vani Nagar, Chowdepalle, Chittoor, Andhra Pradesh - 517257 ",['08581-208075'],ICSE
Paramjyoti Public School,Andhra pradesh,"Paramjyoti Public School,Near Red Bridge, Amalapuram, East Godavari, Andhra Pradesh - 533201 ",['1985'],ICSE
Sri Sathya Sai Gurukulam English Medium School,Andhra pradesh,"Sri Sathya Sai Gurukulam English Medium School,Rajahmundry, East Godavari, Andhra Pradesh - 533101 ",['0883-2430989'],ICSE
St. ANN's School,Andhra pradesh,"St. ANN's School,Gurukulam Road, Rajahmundry, East Godavari, Andhra Pradesh - 533101 ",['0883-2420479'],ICSE
St. Joseph's Convent School,Andhra pradesh,"St. Joseph's Convent School,Church Square Jagannaickpur, Kakinada, East Godavari, Andhra Pradesh - 533002 ","['0884-2384664', '09000498284']",ICSE
The Future Kid's School,Andhra pradesh,"The Future Kid's School,88-1-26 Beside O. N. G. C. Base Complex Kavalagoyya Road, Rajahmundry, East Godavari, Andhra Pradesh - 533107 ","['0883-2466499', '0883-2466699']",ICSE
Little Flower English Medium School,Andhra pradesh,"Little Flower English Medium School,Vidya Nagar, Guntur, Andhra Pradesh - 522007 ","['0863-2350535', '0863-2350161']",ICSE
Loyola Public School,Andhra pradesh,"Loyola Public School,Nallapadu, Loyola Nagar, Guntur, Andhra Pradesh - 522005 ",['loyolapublicschool.org/'],ICSE
St. ANN's School,Andhra pradesh,"St. ANN's School,Nidubrolu P. O., Ponnur, Guntur, Andhra Pradesh - 522123 ",['08643-242724'],ICSE
Bhuvanagiri Public School,Andhra pradesh,"Bhuvanagiri Public School,Krishnaveni Nagar Railway Station Kodur, Kukkaladoddi, Kadapa, Andhra Pradesh - 516101 ","['099496-22967', '099496-22982']",ICSE
Queen Mary's School,Andhra pradesh,"Queen Mary's School,Super Bazar Road, Prodatur, Kadapa, Andhra Pradesh - 516360 ",['08564-252620'],ICSE
The Hyderabad Public School,Andhra pradesh,"The Hyderabad Public School,Opposite Rims Putlampalle, Cuddapah, Kadapa, Andhra Pradesh - 516002 ",['2005'],ICSE
S. D. A. Higher Secondary School,Andhra pradesh,"S. D. A. Higher Secondary School,Nuzvid, Krishna, Andhra Pradesh - 521201 ","['08656-232302', '08656-233448']",ICSE
Seventh Day Adventist High School,Andhra pradesh,"Seventh Day Adventist High School,Bunder Road, Vijayawada, Krishna, Andhra Pradesh - 520002 ",['0866-2572284'],ICSE
St. ANN's School,Andhra pradesh,"St. ANN's School,Ajitsingh Nagar, Vijayawada, Krishna, Andhra Pradesh - 520015 ",['0866-2400884'],ICSE
St. Francis E. M. B High School,Andhra pradesh,"St. Francis E. M. B High School,Machilipatnam, Krishna, Andhra Pradesh - 521002 ","['08672-250742', '08672-250181']",ICSE
Vikasa Vidya Vanam School,Andhra pradesh,"Vikasa Vidya Vanam School,Poranki, Krishna, Andhra Pradesh - 521137 ","['0866-2582494', '09493382494']",ICSE
Heritage Valley The Indian School,Andhra pradesh,"Heritage Valley The Indian School,Papireddyguda Keshampet, Shadnagar, Mahabubnagar, Andhra Pradesh ","['09247074379', '09246366216']",ICSE
Simhapuri Public School,Andhra pradesh,"Simhapuri Public School,Kommare Pudi ( Post ), Nellore, Andhra Pradesh - 524004 ","['0861-2660221', '9391088905']",ICSE
Sree Simhapuri Day School,Andhra pradesh,"Sree Simhapuri Day School,Opposite Telugu Ganga Quarters, Vijayalakshmi Nagar, Nellore, Andhra Pradesh - 524004 ",['0861-2311323'],ICSE
St. Mary's Public School,Andhra pradesh,"St. Mary's Public School,Shanthi Nagar, Kavali, Nellore, Andhra Pradesh - 524201 ","['08626-250877', '08626-243210']",ICSE
Indian Blossoms International School,Andhra pradesh,"Indian Blossoms International School,Kothapatnam Road Near Koppole, Ongole, Prakasam, Andhra Pradesh - 523286 ",['08592-645577'],ICSE
Ongole Public School,Andhra pradesh,"Ongole Public School,Gauthama Nagar Mangamur Road, Ongole, Prakasam, Andhra Pradesh - 523002 ","['08592-233284', '08592-237096']",ICSE
St. ANN's School,Andhra pradesh,"St. ANN's School,Mariampet, Chirala, Prakasam, Andhra Pradesh - 523157 ",['08594-230156'],ICSE
St. ANN's Convent School,Andhra pradesh,"St. ANN's Convent School,P. O. Pathapatnam, Srikakulam, Andhra Pradesh - 532213 ","['08946-255345', '08946-255841']",ICSE
St. Joseph's High School,Andhra pradesh,"St. Joseph's High School,Convent Road, Srikakulam, Andhra Pradesh - 532001 ",['08942-225194'],ICSE
Bethany School,Andhra pradesh,"Bethany School,D. #10-50-29, Waltair Main Road, Visakhapatnam, Andhra Pradesh - 530002 ","['0891-2706121', '0891-2567722']",ICSE
De Paul School,Andhra pradesh,"De Paul School,Sector VIII, Ukkunagaram, Visakhapatnam, Andhra Pradesh - 530032 ","['0891-25109028', '0891-2708271']",ICSE
Fort Catholic Girls' School,Andhra pradesh,"Fort Catholic Girls' School,Old Post Office, Fort, Visakhapatnam, Andhra Pradesh - 530001 ",['0891-2502981'],ICSE
Good Shepherd E. M. School,Andhra pradesh,"Good Shepherd E. M. School,Anakapalle, Visakhapatnam, Andhra Pradesh - 531002 ",['08924-230777'],ICSE
Kotak Salesian School,Andhra pradesh,"Kotak Salesian School,Chinna Waltair, Visakhapatnam, Andhra Pradesh - 530017 ","['0891-2754826', '0891-2713534']",ICSE
Mrs. Mariadas U. P. School,Andhra pradesh,"Mrs. Mariadas U. P. School,Annamma Colony Sriharipuram, Visakhapatnam, Andhra Pradesh - 530011 ","['09885357229', '09346304470']",ICSE
Nava Jeevan Public School,Andhra pradesh,"Nava Jeevan Public School,Charity Center Bhimli P. O. Box #3, Dora Thota, Visakhapatnam, Andhra Pradesh - 531163 ","['0891-2229569', '0891-2228089']",ICSE
Public School,Andhra pradesh,"Public School,M. V. P. Colony, M.v.p. Colony, Visakhapatnam, Andhra Pradesh - 530017 ","['0891-2552718', '0891-2563553']",ICSE
Siva Sivani Public School,Andhra pradesh,"Siva Sivani Public School,#7-1-43 Kirlampudi Layout, Visakhapatnam, Andhra Pradesh - 530023 ",['0891-2550192'],ICSE
Spring Dales Public School,Andhra pradesh,"Spring Dales Public School,2/72 High School Road, New Gajuwaka, Visakhapatnam, Andhra Pradesh - 530026 ",['0891-2517485'],ICSE
St. Aloysius Anglo - Indian High School,Andhra pradesh,"St. Aloysius Anglo - Indian High School,Old Post Office, Visakhapatnam, Andhra Pradesh - 530001 ",['0891-2562837'],ICSE
St. Ann's E. M. School,Andhra pradesh,"St. Ann's E. M. School,Paderu P. O, Visakhapatnam, Andhra Pradesh - 531024 ",['08935-250420'],ICSE
St. Ann's Eng. Med. School,Andhra pradesh,"St. Ann's Eng. Med. School,Butchirajupalem, Visakhapatnam, Andhra Pradesh - 530027 ","['0891-2571037', '0891-2728137']",ICSE
