Name,curriculum,education_level
Ao Naga,ICSE,ssc
Assamese,ICSE,ssc
Bengali,ICSE,ssc
Dzongkha,ICSE,ssc
Garo,ICSE,ssc
Gujarati,ICSE,ssc
Hindi,ICSE,ssc
Kannada,ICSE,ssc
Khasi,ICSE,ssc
Kashmiri,ICSE,ssc
Kokborok,ICSE,ssc
Lepcha,ICSE,ssc
Malayalam,ICSE,ssc
Marathi,ICSE,ssc
Manipuri,ICSE,ssc
Mizo,ICSE,ssc
Nepali,ICSE,ssc
Odia,ICSE,ssc
Punjabi,ICSE,ssc
Sanskrit,ICSE,ssc
Tamil,ICSE,ssc
Tangkhul,ICSE,ssc
Telugu,ICSE,ssc
Tenydie,ICSE,ssc
Urdu,ICSE,ssc
English,ICSE,ssc
Second Language (Indian Language or Modern Foreign Language),ICSE,ssc
"History, Civics and Geography",ICSE,ssc
Mathematics,ICSE,ssc
"Science (Physics, Chemistry, Biology)",ICSE,ssc
Economics,ICSE,ssc
Commercial Studies,ICSE,ssc
Modern Foreign Language,ICSE,ssc
Classical Language,ICSE,ssc
Environmental Science,ICSE,ssc
Computer Applications,ICSE,ssc
Economic Applications,ICSE,ssc
Commercial Applications,ICSE,ssc
Art,ICSE,ssc
Performing Arts,ICSE,ssc
Home Science,ICSE,ssc
Cookery,ICSE,ssc
Fashion Designing,ICSE,ssc
Physical Education,ICSE,ssc
Yoga,ICSE,ssc
Technical Drawing Applications,ICSE,ssc
Environmental Applications,ICSE,ssc
A Modern Foreign Language,ICSE,ssc
Mass Media and Communication,ICSE,ssc
Hospitality Management,ICSE,ssc
Accounts,ICSE,hsc
Biology,ICSE,hsc
Biotechnology,ICSE,hsc
Business Studies,ICSE,hsc
Chemistry,ICSE,hsc
Commerce,ICSE,hsc
Computer Science,ICSE,hsc
Economics,ICSE,hsc
Electricity and Electronics,ICSE,hsc
Engineering Science,ICSE,hsc
English,ICSE,hsc
Environmental Science,ICSE,hsc
Fashion Designing,ICSE,hsc
Geography,ICSE,hsc
History,ICSE,hsc
Home Science,ICSE,hsc
Legal Studies,ICSE,hsc
Mathematics,ICSE,hsc
Physics,ICSE,hsc
Political Science,ICSE,hsc
Psychology,ICSE,hsc
Sociology,ICSE,hsc
