Name,curriculum,education_level
Arabic,CBSE,ssc
Assamese,CBSE,ssc
Bahasa Melayu,CBSE,ssc
Bengali,CBSE,ssc
Bhutia,CBSE,ssc
Bodo,CBSE,ssc
English - Language and Literature,CBSE,ssc
English Communicative,CBSE,ssc
French,CBSE,ssc
German,CBSE,ssc
Gujarati,CBSE,ssc
Gurung,CBSE,ssc
Hindi Course-A,CBSE,ssc
Hindi Course-B,CBSE,ssc
Japanese,CBSE,ssc
Kannada,CBSE,ssc
Kashmiri,CBSE,ssc
Kokborok,CBSE,ssc
Lepcha,CBSE,ssc
Limboo,CBSE,ssc
Malayalam,CBSE,ssc
Manipuri,CBSE,ssc
Marathi,CBSE,ssc
Mizo,CBSE,ssc
Nepali,CBSE,ssc
Odia,CBSE,ssc
Persian,CBSE,ssc
Punjabi,CBSE,ssc
Rai,CBSE,ssc
Russian,CBSE,ssc
Sanskrit,CBSE,ssc
Sanskrit Communiucative,CBSE,ssc
Sindhi,CBSE,ssc
Spanish,CBSE,ssc
Sherpa,CBSE,ssc
Tamang,CBSE,ssc
Tamil,CBSE,ssc
Tangkhul,CBSE,ssc
Telugu AP,CBSE,ssc
Telugu Telangana,CBSE,ssc
Tibetan,CBSE,ssc
Thai,CBSE,ssc
Urdu Course A,CBSE,ssc
Urdu Course B,CBSE,ssc
Mathematics,CBSE,ssc
Science,CBSE,ssc
Social Science,CBSE,ssc
Carnatic Music (Vocal),CBSE,ssc
Carnatic Music (Melodic Instruments),CBSE,ssc
Carnatic Music (Percussion Instruments),CBSE,ssc
Hindustani Music (Vocal),CBSE,ssc
Hindustani Music (Melodic Instruments),CBSE,ssc
Hindustani Music (Percussion Instruments),CBSE,ssc
Painting,CBSE,ssc
Home Science,CBSE,ssc
National Cadet Corps (NCC),CBSE,ssc
Computer Applications,CBSE,ssc
Elements of Business,CBSE,ssc
Elements of Book Keeping and Accountancy,CBSE,ssc
Retail,CBSE,ssc
Information Technology,CBSE,ssc
Security,CBSE,ssc
Automotive,CBSE,ssc
Introduction To Financial Markets,CBSE,ssc
Introduction To Tourism,CBSE,ssc
Beauty & Wellness,CBSE,ssc
Agriculture,CBSE,ssc
Food Production,CBSE,ssc
Front Office Operations,CBSE,ssc
Banking & Insurance,CBSE,ssc
Marketing & Sales,CBSE,ssc
Health Care,CBSE,ssc
Apparel,CBSE,ssc
Multi Media,CBSE,ssc
Multi Skill Foundation course,CBSE,ssc
Artificial Intelligence,CBSE,ssc
Physical Activity Trainer,CBSE,ssc
Data Science (New),CBSE,ssc
Health and Physical Education,CBSE,ssc
Work Experience,CBSE,ssc
Art Education,CBSE,ssc
Arabic,CBSE,hsc
Assamese,CBSE,hsc
Bengali,CBSE,hsc
Bhutia,CBSE,hsc
Bodo,CBSE,hsc
French,CBSE,hsc
German,CBSE,hsc
Gujarati,CBSE,hsc
Hindi Core,CBSE,hsc
Hindi Elective,CBSE,hsc
English Core,CBSE,hsc
English Elective,CBSE,hsc
Japanese,CBSE,hsc
Kannada,CBSE,hsc
Kashmiri,CBSE,hsc
Kokborok,CBSE,hsc
Lepcha,CBSE,hsc
Limboo,CBSE,hsc
Malayalam,CBSE,hsc
Manipuri,CBSE,hsc
Marathi,CBSE,hsc
Mizo,CBSE,hsc
Nepali,CBSE,hsc
Odia,CBSE,hsc
Persian,CBSE,hsc
Punjabi,CBSE,hsc
Russian,CBSE,hsc
Sanskrit Core,CBSE,hsc
Sanskrit Elective,CBSE,hsc
Sindhi,CBSE,hsc
Spanish,CBSE,hsc
Tamil,CBSE,hsc
Tangkhul,CBSE,hsc
Telugu AP,CBSE,hsc
Telugu Telangana,CBSE,hsc
Tibetan,CBSE,hsc
Urdu Core,CBSE,hsc
Urdu Elective,CBSE,hsc
Accountancy,CBSE,hsc
Biology,CBSE,hsc
Bio Technology,CBSE,hsc
Business Studies,CBSE,hsc
Carnatic Melodic,CBSE,hsc
Carnatic Vocal,CBSE,hsc
Carnatic Percussion,CBSE,hsc
Chemistry,CBSE,hsc
Computer Science,CBSE,hsc
Economics,CBSE,hsc
Engineering Graphics,CBSE,hsc
Entrepreneurship,CBSE,hsc
Fine Arts,CBSE,hsc
Dance,CBSE,hsc
Geography,CBSE,hsc
Hindustani Melodic,CBSE,hsc
Hindustani Percussion,CBSE,hsc
Hindustani Vocal,CBSE,hsc
History,CBSE,hsc
Home Science,CBSE,hsc
Infomatics Practices,CBSE,hsc
Knowledge Tradition - Practices India,CBSE,hsc
Legal Studies,CBSE,hsc
Mathematics,CBSE,hsc
Applied Mathematics,CBSE,hsc
NCC,CBSE,hsc
Physical Education,CBSE,hsc
Physics,CBSE,hsc
Political Science,CBSE,hsc
Psychology,CBSE,hsc
Sociology,CBSE,hsc
Retail,CBSE,hsc
Information Technology,CBSE,hsc
Web Application,CBSE,hsc
Automotive,CBSE,hsc
Financial Markets Management,CBSE,hsc
Tourism,CBSE,hsc
Beauty & Wellness,CBSE,hsc
Agriculture,CBSE,hsc
Food Production,CBSE,hsc
Front Office Operations,CBSE,hsc
Banking,CBSE,hsc
Marketing,CBSE,hsc
Health Care,CBSE,hsc
Insurance,CBSE,hsc
Horticulture,CBSE,hsc
Typography & Computer Application,CBSE,hsc
Geospatial Technology,CBSE,hsc
Electrical Technology,CBSE,hsc
Electronic Technology,CBSE,hsc
Multi-Media,CBSE,hsc
Taxation,CBSE,hsc
Cost Accounting,CBSE,hsc
Office Procedures & Practices,CBSE,hsc
Shorthand (English),CBSE,hsc
Shorthand (Hindi),CBSE,hsc
Air-conditioning & Refrigeration,CBSE,hsc
Medical Diagnostics,CBSE,hsc
Textile Design,CBSE,hsc
Design,CBSE,hsc
Salesmanship,CBSE,hsc
Business Administration,CBSE,hsc
Food Nutrition & Dietetics,CBSE,hsc
Mass Media Studies,CBSE,hsc
Library & Information Science,CBSE,hsc
Fashion Studies,CBSE,hsc
Yoga,CBSE,hsc
Early Childhood Care & Education,CBSE,hsc
Artificial Intelligence,CBSE,hsc
Data Science (New),CBSE,hsc
General Studies,CBSE,hsc
Health and Physical Education,CBSE,hsc
School Health Manuals,CBSE,hsc
Value Education - A handbook for teachers,CBSE,hsc
Heaths and Physical Education,CBSE,hsc
Work Experience,CBSE,hsc
General Studies,CBSE,hsc
Ao Naga,ICSE,ssc
Assamese,ICSE,ssc
Bengali,ICSE,ssc
Dzongkha,ICSE,ssc
Garo,ICSE,ssc
Gujarati,ICSE,ssc
Hindi,ICSE,ssc
Kannada,ICSE,ssc
Khasi,ICSE,ssc
Kashmiri,ICSE,ssc
Kokborok,ICSE,ssc
Lepcha,ICSE,ssc
Malayalam,ICSE,ssc
Marathi,ICSE,ssc
Manipuri,ICSE,ssc
