curriculum,education_level,streams
CBSE,hsc,"Physics, Chemistry, Mathematics, Biology, English"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, English"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, English"
CBSE,hsc,"Physics, Chemistry, Biology, English, Physical Education"
CBSE,hsc,"Physics, Chemistry, Biology, English, Biotechnology"
CBSE,hsc,"Physics, Chemistry, Biology, English, Psychology"
CBSE,hsc,"Physics, Chemistry, Biology, English, Fine Arts"
CBSE,hsc,"Physics, Chemistry, Biology, English, History"
CBSE,hsc,"Physics, Chemistry, Biology, English, Geography"
CBSE,hsc,"Physics, Chemistry, Biology, English, Sociology"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Physical Education"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Informatics Practices"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Statistics"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Economics"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Entrepreneurship"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Psychology"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Fine Arts"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Music"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Geography"
CBSE,hsc,"Physics, Chemistry, Mathematics, Computer Science, Political Science"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, Entrepreneurship"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, Statistics"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, Political Science"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, Psychology"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, Fine Arts"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, History"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, Geography"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, Physical Education"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, Computer Science"
CBSE,hsc,"Physics, Chemistry, Mathematics, Economics, Informatics Practices"
CBSE,hsc,"Physics, Chemistry, Mathematics, Biology, Psychology"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, Computer Science, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, Informatics Practices, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, Physical Education, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, Entrepreneurship, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, Statistics, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, Fine Arts, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, History, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, Geography, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, Political Science, English"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Entrepreneurship"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Statistics"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Physical Education"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Informatics Practices"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Fine Arts"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Music"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Geography"
CBSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Political Science"
CBSE,hsc,"Business Studies, Accountancy, Economics, Entrepreneurship, Statistics"
CBSE,hsc,"Business Studies, Accountancy, Economics, Entrepreneurship, Physical Education"
CBSE,hsc,"Business Studies, Accountancy, Economics, Entrepreneurship, Computer Science"
CBSE,hsc,"Business Studies, Accountancy, Economics, Entrepreneurship, Informatics Practices"
CBSE,hsc,"Business Studies, Accountancy, Economics, Entrepreneurship, Fine Arts"
CBSE,hsc,"Business Studies, Accountancy, Economics, Entrepreneurship, Music"
CBSE,hsc,"Business Studies, Accountancy, Economics, Entrepreneurship, Geography"
CBSE,hsc,"Business Studies, Accountancy, Economics, Entrepreneurship, Political Science"
CBSE,hsc,"Business Studies, Accountancy, Economics, Statistics, Physical Education"
CBSE,hsc,"Business Studies, Accountancy, Economics, Statistics, Computer Science"
CBSE,hsc,"Business Studies, Accountancy, Economics, Statistics, Informatics Practices"
CBSE,hsc,"History, Political Science, Sociology, Economics, English"
CBSE,hsc,"History, Political Science, Sociology, Geography, English"
CBSE,hsc,"History, Political Science, Sociology, Psychology, English"
CBSE,hsc,"History, Political Science, Sociology, Fine Arts, English"
CBSE,hsc,"History, Political Science, Sociology, Physical Education, English"
CBSE,hsc,"History, Political Science, Sociology, Music, English"
CBSE,hsc,"History, Political Science, Sociology, Home Science, English"
CBSE,hsc,"History, Political Science, Sociology, Philosophy, English"
CBSE,hsc,"History, Political Science, Sociology, Mathematics, English"
CBSE,hsc,"History, Political Science, Sociology, Economics, Geography"
CBSE,hsc,"History, Political Science, Sociology, Economics, Psychology"
CBSE,hsc,"History, Political Science, Sociology, Economics, Fine Arts"
CBSE,hsc,"History, Political Science, Sociology, Economics, Music"
CBSE,hsc,"History, Political Science, Sociology, Economics, Physical Education"
CBSE,hsc,"History, Political Science, Sociology, Economics, Computer Science"
CBSE,hsc,"History, Political Science, Sociology, Economics, Informatics Practices"
CBSE,hsc,"History, Political Science, Sociology, Economics, Statistics"
CBSE,hsc,"History, Political Science, Sociology, Economics, Philosophy"
CBSE,hsc,"History, Political Science, Sociology, Economics, Home Science"
CBSE,hsc,"History, Political Science, Sociology, Geography, Psychology"
CBSE,hsc,"History, Political Science, Sociology, Geography, Fine Arts"
CBSE,hsc,"History, Political Science, Sociology, Geography, Music"
CBSE,hsc,"History, Political Science, Sociology, Geography, Physical Education"
CBSE,hsc,"History, Political Science, Sociology, Geography, Computer Science"
CBSE,hsc,"History, Political Science, Sociology, Geography, Informatics Practices"
CBSE,hsc,"History, Political Science, Sociology, Geography, Statistics"
CBSE,hsc,"History, Political Science, Sociology, Geography, Philosophy"
CBSE,hsc,"History, Political Science, Sociology, Psychology, Fine Arts"
CBSE,hsc,"History, Political Science, Sociology, Psychology, Music"
CBSE,hsc,"History, Political Science, Sociology, Psychology, Physical Education"
