curriculum,education_level,streams
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, English"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Economics"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Psychology"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Fine Arts"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, History"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Geography"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Physical Education"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Music"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Biotechnology"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Statistics"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Informatics Practices"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Political Science"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Sociology"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Home Science"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Philosophy"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Physical Education"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Environmental Science"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Entrepreneurship"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Fashion Studies"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Entrepreneurship"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Legal Studies"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Food Production"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Fashion Studies"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Legal Studies"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Food Production"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Fashion Studies"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Legal Studies"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Physics, Chemistry, Mathematics, Biology, Computer Science, Food Production"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, English"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Physical Education"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Informatics Practices"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Statistics"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Entrepreneurship"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Fine Arts"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Music"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Geography"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Political Science"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Sociology"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Legal Studies"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Psychology"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Fashion Studies"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Food Production"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Legal Studies"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Food Production"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Legal Studies"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Food Production"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Legal Studies"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Food Production"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Legal Studies"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Food Production"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Legal Studies"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Multimedia and Web Technology"
ICSE,hsc,"Business Studies, Accountancy, Economics, Mathematics, Computer Science, Food Production"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, English"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Fine Arts"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Physical Education"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Music"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Home Science"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Mathematics"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Geography"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Philosophy"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Legal Studies"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Fashion Studies"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Environmental Science"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Multimedia and Web Technology"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Food Production"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Legal Studies"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Multimedia and Web Technology"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Food Production"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Legal Studies"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Multimedia and Web Technology"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Food Production"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Legal Studies"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Multimedia and Web Technology"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Food Production"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Legal Studies"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Multimedia and Web Technology"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Food Production"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Legal Studies"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Multimedia and Web Technology"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Food Production"
ICSE,hsc,"History, Political Science, Sociology, Economics, Psychology, Legal Studies"
